remote-sensing inversion	DierssenImage
6	6
Comments: 
02/13/17	18:33:52
ImageHeader	debug\gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.hdr
ImageData	debug\gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.dat
Transect	debug\BathymetryImageDierssen_gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.txt
Params	Default
X	Y	RRS555	RRS670	Depth	T	
5	5	0	0	-1.#IND	27554.6	
55	5	0	0	-1.#IND	6451.06	
105	5	0	0	-1.#IND	0.334511	
155	5	0	0	-1.#IND	0.342874	
205	5	0	0	-1.#IND	0.202227	
255	5	0	0	-1.#IND	0.200327	
305	5	0	0	-1.#IND	0.256585	
355	5	0	0	-1.#IND	0.204888	
405	5	0	0	-1.#IND	0.218573	
455	5	1481	2880	0.127329	0.295738	
505	5	1286	2693	0.115313	0.208309	
555	5	1478	2614	0.144329	0.208689	
605	5	1690	3056	0.140185	0.20907	
655	5	1284	2482	0.128347	0.275972	
705	5	1516	3050	0.121682	0.208309	
755	5	1387	2823	0.119808	0.208689	
805	5	1357	2757	0.120096	0.409776	
855	5	1845	3442	0.134535	0.215532	
905	5	1766	3395	0.129288	0.212111	
955	5	1350	2710	0.122044	0.205268	
1005	5	1365	2576	0.132501	0.33033	
1055	5	677	825	0.231778	0.207929	
1105	5	1168	2297	0.125437	0.208309	
1155	5	666	1108	0.156318	0.226175	
1205	5	1396	2606	0.134422	0.20983	
1255	5	1178	1520	0.215931	0.380887	
1305	5	1388	2267	0.160096	0.29992	
1355	5	2631	3620	0.199259	0.212111	
1405	5	1783	2837	0.165594	0.318546	
1455	5	4666	4597	0.299785	0.208309	
1505	5	1475	2492	0.153219	0.370243	
1555	5	0	0	-1.#IND	0.202988	
1605	5	0	0	-1.#IND	0.291177	
1655	5	0	0	-1.#IND	0.201467	
1705	5	0	0	-1.#IND	0.229977	
1755	5	0	0	-1.#IND	0.200707	
1805	5	0	0	-1.#IND	0.261907	
1855	5	0	0	-1.#IND	0.201087	
5	55	0	0	-1.#IND	0.206029	
55	55	0	0	-1.#IND	0.203748	
