remote-sensing inversion	DierssenImageDiffuse
9	6
Comments: 
02/14/17	12:30:30
Image	debug\gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.hdr
Transect	C:\Users\kubota\Documents\MATLAB\bathymetry\exe\BathymetryImageDierssen_gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.txt
Params	Default
Alpha	0.01
NIter	5
Width/Height	5
X	Y	RRS555	RRS670	Depth	T	
1000	1000	1397.08	2512.46	0.141202	7.8652	
1001	1000	1400.67	2512	0.141713	7.49077	
1002	1000	1402.75	2505.51	0.142473	7.39536	
1003	1000	1399.33	2504.18	0.142116	7.35241	
1004	1000	1397.13	2504.59	0.141792	7.9416	
1005	1000	1401.49	2506.37	0.142241	7.34937	
1006	1000	1396.39	2510.75	0.141238	7.37293	
1007	1000	1397.36	2529.44	0.139995	7.47747	
1008	1000	1397.24	2536.7	0.139451	8.02485	
1009	1000	1390.4	2544.7	0.137979	7.34785	
1010	1000	1377.64	2535.34	0.136977	8.01611	
1011	1000	1371.58	2540.19	0.135838	8.01535	
1012	1000	1377.15	2537.51	0.136757	7.92564	
1013	1000	1378.75	2549.62	0.13611	7.75002	
1014	1000	1395.38	2564.54	0.137219	7.94312	
1015	1000	1404.99	2573.16	0.137856	7.35279	
1016	1000	1410.1	2567.93	0.138888	7.90625	
1017	1000	1398	2562.99	0.137668	7.91309	
1018	1000	1397.96	2556.32	0.138136	7.95415	
1019	1000	1410.7	2555.08	0.139887	8.00813	
1020	1000	1424.97	2571.2	0.140583	7.35089	
1021	1000	1441.58	2593.54	0.141127	7.36761	
1022	1000	1461.77	2611.49	0.142433	7.49648	
1023	1000	1478.65	2632.55	0.14308	7.71505	
1024	1000	1494.6	2651.88	0.143721	7.35963	
1025	1000	1495.7	2645.74	0.144298	7.92488	
1026	1000	1488.81	2630.99	0.144483	7.61165	
1027	1000	1460.22	2600.38	0.143033	7.92298	
1028	1000	1430.5	2563.25	0.141877	8.02979	
1029	1000	1398.82	2533.4	0.139898	7.53411	
1030	1000	1373.69	2515.72	0.137864	7.34823	
1031	1000	1384.04	2544.42	0.137168	7.96593	
1032	1000	1420.55	2577.97	0.139526	8.00394	
1033	1000	1451.77	2612.73	0.141066	7.9302	
1034	1000	1472.52	2638.13	0.141906	7.999	
1035	1000	1506.77	2654.72	0.145055	8.02599	
1036	1000	1509	2633.05	0.146902	8.0526	
1037	1000	1506.14	2599.47	0.149018	8.12178	
1038	1000	1493.19	2558.9	0.150404	8.02637	
1039	1000	1472.76	2513.56	0.15121	8.27497	
1040	1000	1440	2441.8	0.152491	7.95377	
1041	1000	1412.26	2379.59	0.153757	7.85227	
1042	1000	1376.19	2297.31	0.15563	7.51966	
1043	1000	1342.94	2209.04	0.158631	7.45162	
1044	1000	1320.45	2107.14	0.164974	9.02002	
1045	1000	1300.1	2013.79	0.171415	11.519	
1046	1000	1259.25	1895.37	0.177824	10.6458	
1047	1000	1232.72	1791.45	0.185951	11.1791	
1048	1000	1198.52	1664.24	0.19697	12.5176	
1049	1000	1143.02	1526.21	0.206903	8.27992	
1050	1000	1083.76	1413.85	0.212994	7.96593	
1051	1000	1044.53	1310.67	0.223549	8.05146	
1052	1000	1013.15	1232.6	0.23225	7.93172	
1053	1000	1007.22	1192.65	0.240108	7.95187	
1054	1000	1042.83	1193.5	0.250314	8.02941	
1055	1000	1089.13	1187.98	0.265362	7.98228	
1056	1000	1131.57	1189.92	0.277326	7.99254	
1057	1000	1155.37	1170.68	0.289933	7.93134	
1058	1000	1161.38	1148.89	0.298334	7.92944	
1059	1000	1148.79	1117.68	0.304285	7.60975	
1060	1000	1131.84	1075.9	0.31276	7.93438	
1061	1000	1104.93	1020.44	0.323571	7.54057	
1062	1000	1086.06	982.373	0.331552	7.49343	
1063	1000	1067.4	937.632	0.343072	7.33264	
1064	1000	1062.27	905.622	0.355195	7.84277	
1065	1000	1061.05	878.442	0.367422	7.7044	
1066	1000	1069.59	870.362	0.374783	7.37902	
1067	1000	1084.97	860.085	0.386171	7.34366	
1068	1000	1113.18	864.153	0.395507	7.97353	
1069	1000	1126.73	868.655	0.398622	7.36381	
1070	1000	1143.59	877.458	0.400787	7.38168	
1071	1000	1159.25	877.748	0.406863	7.5744	
1072	1000	1177.55	890.767	0.407295	7.39802	
1073	1000	1178.77	889.56	0.408398	8.05982	
1074	1000	1181.23	894.556	0.406778	8.00775	
1075	1000	1182.72	902.613	0.40324	7.9283	
1076	1000	1187.08	927.871	0.392426	8.02561	
1077	1000	1199.27	957.182	0.383184	7.66601	
1078	1000	1230.26	1014.79	0.368981	7.84467	
1079	1000	1267.74	1064.1	0.361642	8.02257	
1080	1000	1298.84	1121.72	0.34991	7.5706	
1081	1000	1314.94	1172.47	0.337152	7.9226	
1082	1000	1308.88	1227.12	0.317895	7.95339	
1083	1000	1315.36	1289.82	0.301467	7.88915	
1084	1000	1320.78	1422.47	0.269466	7.94731	
1085	1000	1351.13	1575.68	0.244633	7.70707	
1086	1000	1398.81	1749.23	0.224496	7.47519	
1087	1000	1458.81	1926.28	0.209807	7.92944	
1088	1000	1498.22	2088.14	0.196051	7.5668	
1089	1000	1526.22	2210.21	0.186781	7.94046	
1090	1000	1524.14	2296.72	0.177562	7.93932	
1091	1000	1510.16	2366.87	0.168842	8.09936	
1092	1000	1484.41	2419.77	0.160498	7.9264	
1093	1000	1457.2	2458.95	0.153461	7.40867	
1094	1000	1431.36	2487.37	0.147692	8.09593	
1095	1000	1404.32	2505.61	0.142676	7.86368	
1096	1000	1384.27	2525.87	0.138527	7.40068	
1097	1000	1378.87	2535.95	0.137093	7.92716	
1098	1000	1383.43	2544.31	0.137096	7.92906	
1099	1000	1408.94	2572.57	0.138409	8.10202	
1000	1001	1413.13	2525.62	0.142357	7.90473	
1001	1001	1416.32	2529.61	0.142484	7.37369	
1002	1001	1419.59	2527.4	0.14308	8.07161	
1003	1001	1412.27	2527.29	0.14212	7.89523	
1004	1001	1410.91	2525.68	0.14206	7.44706	
1005	1001	1409.76	2530.83	0.141528	7.48051	
1006	1001	1403.8	2531.47	0.140695	7.67475	
1007	1001	1404.78	2544.63	0.139868	7.92222	
1008	1001	1404.96	2547	0.139719	7.37864	
1009	1001	1397.07	2550.41	0.138443	8.10772	
1010	1001	1384.37	2544.06	0.137237	7.93856	
1011	1001	1379.16	2550.71	0.136085	7.64396	
1012	1001	1387.55	2548.38	0.137345	7.61584	
1013	1001	1388.17	2556.82	0.136828	7.91842	
1014	1001	1402.56	2567.93	0.13791	8.08947	
1015	1001	1416.86	2571.68	0.139498	8.01991	
1016	1001	1417.18	2564.84	0.140028	7.93476	
1017	1001	1404.82	2557.06	0.138978	8.11532	
1018	1001	1403.97	2554.07	0.139081	7.35013	
1019	1001	1415.45	2556.94	0.140372	7.92032	
1020	1001	1432.46	2579.33	0.140968	7.7964	
1021	1001	1445.91	2601.15	0.14114	7.37065	
1022	1001	1464.52	2624.36	0.141866	7.36077	
1023	1001	1476.43	2639.22	0.142324	7.99862	
1024	1001	1483.63	2649.96	0.142475	7.83669	
1025	1001	1480.08	2642.91	0.142524	7.35469	
1026	1001	1472.39	2625.58	0.14278	7.59303	
1027	1001	1449.22	2597.26	0.141843	7.39194	
1028	1001	1421.94	2563.24	0.140763	7.5725	
1029	1001	1395.16	2533.91	0.13938	7.77701	
1030	1001	1377.67	2519.57	0.138112	7.49686	
1031	1001	1390.52	2549.87	0.137626	7.36153	
1032	1001	1421.17	2578.23	0.139587	7.93628	
1033	1001	1449.95	2604.6	0.141412	7.65727	
1034	1001	1459.7	2615.11	0.14191	7.43794	
1035	1001	1476.44	2615.91	0.143992	8.00432	
1036	1001	1475.66	2584.05	0.146221	7.37141	
1037	1001	1474.43	2545.49	0.14896	8.00584	
1038	1001	1460.22	2498.09	0.150742	7.51738	
1039	1001	1452.13	2453.63	0.153198	7.35013	
1040	1001	1434.09	2389.29	0.156024	7.59341	
1041	1001	1413.72	2323.8	0.158778	8.00546	
1042	1001	1378.27	2238.96	0.161221	7.36267	
1043	1001	1347.18	2156.55	0.164308	8.01801	
1044	1001	1321.84	2050.31	0.171111	7.99634	
1045	1001	1294.4	1948.08	0.177847	7.34861	
1046	1001	1254.94	1822.48	0.186114	7.4539	
1047	1001	1224.32	1713.83	0.19498	8.064	
1048	1001	1173.55	1582.21	0.20441	7.33416	
1049	1001	1111.12	1442.12	0.214363	7.6394	
1050	1001	1055.89	1338.42	0.220759	7.92982	
1051	1001	1022.34	1252.59	0.230236	7.71201	
1052	1001	1013.09	1195.08	0.241224	8.01269	
1053	1001	1026.72	1176.47	0.24995	7.92488	
1054	1001	1065.92	1191.32	0.257645	7.45732	
1055	1001	1112.18	1191.62	0.271153	7.71011	
1056	1001	1137.87	1186.16	0.280246	7.35583	
1057	1001	1148.13	1165.05	0.289427	7.57516	
1058	1001	1140.59	1132.56	0.297005	7.65423	
1059	1001	1130.67	1092.57	0.306755	7.3334	
1060	1001	1113.53	1048.11	0.316417	7.36343	
1061	1001	1093.1	998.1	0.327915	7.69566	
1062	1001	1076.25	963.592	0.33554	7.37331	
1063	1001	1066.43	925.526	0.347929	7.48545	
1064	1001	1059.34	900.05	0.356596	7.73253	
1065	1001	1056.32	881.123	0.364253	7.9245	
1066	1001	1068.29	879.717	0.369689	7.45656	
1067	1001	1081.32	870.969	0.379194	7.64587	
1068	1001	1107.18	876.127	0.38696	7.9169	
1069	1001	1123.94	882.409	0.390454	7.55882	
1070	1001	1144.41	886.839	0.396296	7.49533	
1071	1001	1163.45	886.583	0.403924	7.71961	
1072	1001	1181.61	896.737	0.405805	7.53753	
1073	1001	1186.04	897.987	0.406885	7.53867	
1074	1001	1184.83	899.62	0.405579	7.93172	
1075	1001	1181.51	908.18	0.399972	8.00052	
1076	1001	1186.52	938.898	0.386966	8.01649	
1077	1001	1204.98	976.905	0.37638	7.93058	
1078	1001	1232.53	1039.41	0.359689	7.99672	
1079	1001	1271.86	1090.17	0.35298	7.92716	
1080	1001	1302.11	1154.14	0.339501	7.42539	
1081	1001	1315.49	1200.82	0.328021	7.77245	
1082	1001	1311.14	1261.25	0.308397	7.96821	
1083	1001	1320.05	1336.7	0.290152	7.92868	
1084	1001	1323.56	1477.53	0.258016	7.94693	
1085	1001	1354.65	1628.69	0.235654	7.92374	
1086	1001	1410.57	1805.76	0.218063	7.90891	
1087	1001	1470.01	1974.59	0.20536	7.60139	
1088	1001	1507.73	2119.18	0.193978	7.37255	
1089	1001	1522.81	2230.06	0.184148	7.65081	
1090	1001	1512.29	2311.19	0.174393	7.60823	
1091	1001	1489.88	2381.89	0.164583	7.93742	
1092	1001	1462.52	2437.06	0.155991	7.82604	
1093	1001	1436.7	2476.21	0.149287	7.38852	
1094	1001	1415.48	2501.04	0.14451	7.37483	
1095	1001	1391.65	2518.71	0.140023	7.68502	
1096	1001	1372.46	2530.05	0.136672	7.42615	
1097	1001	1365.27	2536.59	0.135267	7.37521	
1098	1001	1365.83	2545.28	0.13473	7.44896	
1099	1001	1389.33	2567.56	0.136222	8.03625	
1000	1002	1437.93	2560.27	0.143063	7.71733	
1001	1002	1435.36	2563.82	0.142468	8.86949	
1002	1002	1435.33	2560.65	0.142696	8.05412	
1003	1002	1430.99	2554.59	0.142573	7.96213	
1004	1002	1432.77	2546.66	0.143391	8.06781	
1005	1002	1428.7	2548.15	0.142746	8.11418	
1006	1002	1416.38	2543.77	0.14145	7.60785	
1007	1002	1412.25	2556.57	0.139981	7.91766	
1008	1002	1409.39	2563.15	0.139137	7.39346	
1009	1002	1405.58	2576.09	0.137725	7.62002	
1010	1002	1399.44	2578.48	0.136764	7.92564	
1011	1002	1402.66	2586.77	0.1366	7.35811	
1012	1002	1411.76	2584.52	0.137928	7.60823	
1013	1002	1418.21	2585.42	0.138696	7.92336	
