remote-sensing inversion	DierssenImageDiffuse
9	6
Comments: 
02/13/17	19:19:05
Image	debug\gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.hdr
Transect	debug\BathymetryImageDierssen_gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.txt
Params	Default
Alpha	0.01
NIter	5
Width/Height	5
X	Y	RRS555	RRS670	Depth	T	
5	5	0	0	-1.#IND	7.90017	
55	5	0	0	-1.#IND	8.52434	
105	5	0	0	-1.#IND	8.19743	
155	5	0	0	-1.#IND	9.06298	
205	5	0	0	-1.#IND	7.89333	
255	5	0	0	-1.#IND	10.9765	
305	5	0	0	-1.#IND	10.9416	
355	5	0	0	-1.#IND	14.0848	
405	5	0	0	-1.#IND	12.8068	
455	5	1426.55	3026.35	0.113314	13.8434	
505	5	1303.67	2755.37	0.113885	13.9788	
555	5	1343.84	2585.15	0.129174	11.2221	
605	5	1420.08	2854.47	0.121828	12.0059	
655	5	1307.48	2489.74	0.130932	9.29713	
705	5	1541.7	2981.32	0.128279	9.4929	
755	5	1595.11	3085.8	0.128214	9.3648	
805	5	1462.32	2828.41	0.128244	9.24886	
855	5	1791.91	3436.51	0.129703	9.09263	
905	5	1738.65	3323.56	0.130263	8.74595	
955	5	1412.21	2700.89	0.130178	8.2822	
1005	5	1458.57	2637.8	0.140165	8.10468	
1055	5	729.187	1045.3	0.189203	9.69513	
1105	5	1375.92	2544.25	0.136119	8.41562	
1155	5	711.572	1147.22	0.162804	8.31147	
1205	5	1257.58	2338.05	0.135149	8.40574	
1255	5	1213.85	1649.92	0.202333	9.35757	
1305	5	1437.3	2363.13	0.158728	9.15497	
1355	5	2474.58	3424.76	0.197797	8.43045	
1405	5	1872.23	2879.02	0.173017	8.19971	
1455	5	3942.68	3962.46	0.292769	10.5603	
1505	5	1528.55	2555.06	0.15536	9.21883	
1555	5	0	0	-1.#IND	9.14698	
1605	5	0	0	-1.#IND	8.53042	
1655	5	0	0	-1.#IND	8.00622	
