remote-sensing inversion	DierssenImageDiffuse
9	6
Comments: 
02/14/17	12:44:49
Image	debug\gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.hdr
Transect	C:\Users\kubota\Documents\MATLAB\bathymetry\exe\BathymetryImageDierssen_gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.txt
Params	Default
Alpha	0.01
NIter	5
Width/Height	5
Start@	1000	1000
End@	1050	1050
X	Y	RRS555	RRS670	Depth	T	
1000	1000	1397.08	2512.46	0.141202	7.23951	
1001	1000	1400.67	2512	0.141713	7.19009	
1002	1000	1402.75	2505.51	0.142473	7.40372	
1003	1000	1399.33	2504.18	0.142116	7.13497	
1004	1000	1397.13	2504.59	0.141792	7.2167	
1005	1000	1401.49	2506.37	0.142241	7.16424	
1006	1000	1396.39	2510.75	0.141238	7.30109	
1007	1000	1397.36	2529.44	0.139995	7.23419	
1008	1000	1397.24	2536.7	0.139451	7.69566	
1009	1000	1390.4	2544.7	0.137979	7.2205	
1010	1000	1377.64	2535.34	0.136977	7.1612	
1011	1000	1371.58	2540.19	0.135838	9.71908	
1012	1000	1377.15	2537.51	0.136757	7.9302	
1013	1000	1378.75	2549.62	0.13611	7.74204	
1014	1000	1395.38	2564.54	0.137219	7.69414	
1015	1000	1404.99	2573.16	0.137856	7.76066	
1016	1000	1410.1	2567.93	0.138888	7.67361	
1017	1000	1398	2562.99	0.137668	7.6394	
1018	1000	1397.96	2556.32	0.138136	7.18781	
1019	1000	1410.7	2555.08	0.139887	7.211	
1020	1000	1424.97	2571.2	0.140583	7.40486	
1021	1000	1441.58	2593.54	0.141127	7.11977	
1022	1000	1461.77	2611.49	0.142433	7.22545	
1023	1000	1478.65	2632.55	0.14308	7.20872	
1024	1000	1494.6	2651.88	0.143721	7.97962	
1025	1000	1495.7	2645.74	0.144298	7.26688	
1026	1000	1488.81	2630.99	0.144483	8.12596	
1027	1000	1460.22	2600.38	0.143033	7.13916	
1028	1000	1430.5	2563.25	0.141877	7.71809	
1029	1000	1398.82	2533.4	0.139898	7.19199	
1030	1000	1373.69	2515.72	0.137864	7.3391	
1031	1000	1384.04	2544.42	0.137168	7.12243	
1032	1000	1420.55	2577.97	0.139526	7.2722	
1033	1000	1451.77	2612.73	0.141066	7.18705	
1034	1000	1472.52	2638.13	0.141906	7.32276	
1035	1000	1506.77	2654.72	0.145055	7.12433	
1036	1000	1509	2633.05	0.146902	7.39498	
1037	1000	1506.14	2599.47	0.149018	7.41133	
1038	1000	1493.19	2558.9	0.150404	7.12965	
1039	1000	1472.76	2513.56	0.15121	7.72075	
1040	1000	1440	2441.8	0.152491	7.52765	
1041	1000	1412.26	2379.59	0.153757	7.38928	
1042	1000	1376.19	2297.31	0.15563	7.14638	
1043	1000	1342.94	2209.04	0.158631	7.35089	
1044	1000	1320.45	2107.14	0.164974	7.49267	
1045	1000	1300.1	2013.79	0.171415	7.15246	
1046	1000	1259.25	1895.37	0.177824	7.44212	
1047	1000	1232.72	1791.45	0.185951	7.70935	
1048	1000	1198.52	1664.24	0.19697	7.23647	
1049	1000	1143.02	1526.21	0.206903	7.7964	
1000	1001	1413.13	2525.62	0.142357	7.67437	
1001	1001	1416.32	2529.61	0.142484	7.87546	
1002	1001	1419.59	2527.4	0.14308	7.91005	
1003	1001	1412.27	2527.29	0.14212	7.59227	
1004	1001	1410.91	2525.68	0.14206	7.49533	
1005	1001	1409.76	2530.83	0.141528	7.40601	
1006	1001	1403.8	2531.47	0.140695	7.11445	
1007	1001	1404.78	2544.63	0.139868	7.22925	
1008	1001	1404.96	2547	0.139719	7.83137	
1009	1001	1397.07	2550.41	0.138443	7.13688	
1010	1001	1384.37	2544.06	0.137237	7.69908	
1011	1001	1379.16	2550.71	0.136085	7.78195	
1012	1001	1387.55	2548.38	0.137345	7.18553	
1013	1001	1388.17	2556.82	0.136828	7.16044	
1014	1001	1402.56	2567.93	0.13791	7.31211	
1015	1001	1416.86	2571.68	0.139498	7.80476	
1016	1001	1417.18	2564.84	0.140028	7.7025	
